,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
LENA-LIGHTING,1244.0,97043.0,3.8700000201004623,24875050,96266444,5.0009949728744265e-05,0.0039012182890084644
LES,124587.0,0.0,0.6090000031303354,124587290,75873660,0.000999997672314728,0.0
LKD,3600.0,122370.0,15.0,18000000,270000000,0.0002,0.006798333333333333
LPP,3708.0,3082590.0,9585.0,1854241,17772899985,0.0019997400553649716,1.6624538018520785
LRK,166033.0,12975.0,0.15000003131899967,15964750,2394713,0.010399974944800263,0.0008127280414663556
LRQ,1288.0,2700.0,1.2400000372572515,12883398,15975414,9.997362497067932e-05,0.0002095720399230079
LSI-SOFTWARE,3261.0,8150.0,12.300000122670713,3260762,40107373,0.001000072989074333,0.0024994157807285535
LENTEX,16400.0,79525.0,7.78,40000000,311200000,0.00041,0.001988125
LIVECHAT,515.0,38580.0,141.0,25750000,3630750000,2e-05,0.001498252427184466
BOGDANKA,301158.0,702549.0,37.820000005880004,34013590,1286393974,0.008854049219738347,0.02065494997734729
MABION,1616.0,237443.0,17.140000022274023,16162326,277022268,9.998560850709236e-05,0.014691140371750948
MAKARONY-POLSKIE,33120.0,53521.0,10.35000001358687,11040071,114264735,0.0029999807066458176,0.004847885489142235
MAN,1940.0,3610.0,0.88,22600000,19888000,8.584070796460177e-05,0.00015973451327433628
MBR,35129.0,47084.0,310.0,3512885,1088994350,0.010000042699946055,0.013403228400588121
MBW,720859.0,334611.0,10.5,111989820,1175893110,0.006436826132946727,0.002987869790307726
MCI,52461.0,1721705.0,17.300000001906177,52461033,907575871,0.0009999993709616812,0.0328187399588567
MERCOR,3915.0,106202.0,18.700000031931467,15658535,292814605,0.0002500233897998759,0.006782371403199597
MDG,498.0,148123.0,16.720000032151855,9952769,166410298,5.003632657404186e-05,0.01488259197013414
MDI,161380.0,9651.0,1.2250000032531958,46108506,56482920,0.0035000049665456522,0.00020931062047423526
MEGARON,540.0,9413.0,10.5,2700000,28350000,0.0002,0.0034862962962962964
MEX-POLSKA,767.0,15359.0,3.1000000521822892,7665436,23762852,0.00010005953999224571,0.0020036694585930923
MFO,1321.0,279233.0,35.0,6607490,231262150,0.00019992463098695572,0.04226007152489069
MGT,1335.0,164211.0,102.0,6676854,681039108,0.00019994446486324249,0.0245940678049872
MIRACULUM,38000.0,2850.0,1.36,38000000,51680000,0.001,7.5e-05
MLP-GROUP,5999.0,485348.0,75.19999998332985,23994982,1804422646,0.00025001060638428485,0.020227062474979143
MILKILAND,14563.0,226896.0,0.78,31250000,24375000,0.000466016,0.007260672
MLS,6484.0,91239.0,56.0,6484243,363117608,0.0009999625245383308,0.01407087920671696
MENNICA-POLSKA,51087.0,14047.0,16.900000001957437,51087191,863373528,0.0009999962612937557,0.00027496129117766526
MOC,140.0,101198.0,20.75,14030000,291122500,9.978617248752673e-06,0.007212972202423378
MOJ,9827.0,34762.0,1.9700000427388957,9827114,19359415,0.0009999883994426034,0.003537355931761858
MOL-MAGYAR-OLAJ,924452.0,31622339.0,30.200000000488146,819425403,24746647171,0.0011281710288886418,0.0385908697536437
MONNARI-TRADE,3056.0,126475.0,4.89999999672808,30563089,149759136,9.998989303731701e-05,0.004138161558211606
MOV,2573.0,3421.0,16.90000007772629,2573132,43485931,0.0009999487006496363,0.0013295081635920738
MIRBUD,9174.0,220499.0,6.76,91744200,620190792,9.99954220539282e-05,0.0024034107878209195
MERCATOR,10647.0,57843.0,42.600000037568684,10647166,453569272,0.0009999844089967228,0.005432713268488535
MOSTOSTAL-PLOCK,20000.0,2461.0,18.95,2000000,37900000,0.01,0.0012305
MOSTOSTAL-WARSZAWA,44801.0,108406.0,5.7,20000000,114000000,0.00224005,0.0054203
MOSTOSTAL-ZABRZE,149131.0,0.0,2.4200000002682214,74565269,180447951,0.002000006195914079,0.0
MVP,41653.0,523555.0,6.0199999990396815,41652852,250750169,0.0010000035531780632,0.012569487438699276
MW-TRADE,255.0,24235.0,5.5199998903053,2552539,14090015,9.990053041305148e-05,0.009494468057099225
MXC,135.0,34543.0,9.3,2700000,25110000,5e-05,0.012793703703703703
MUZA,6261.0,13658.0,7.5,3069156,23018670,0.00203997450764966,0.004450083345388765
NEUCA,4420.0,277667.0,618.0,4496549,2778867282,0.0009829760556373344,0.06175113403634654
NNG,16748.0,29351.0,1.4000000199030136,20097459,28136443,0.0008333391798435812,0.0014604333811552993
NTC,8677.0,30241.0,0.7000000207440317,14461991,10123394,0.0005999865440380927,0.0020910675438810603
NTT,83100.0,26289.0,4.71,13850000,65233500,0.006,0.0018981227436823105
NTU,1140.0,0.0,18.1,7807000,141306700,0.00014602280005123608,0.0
PANOVA,10000.0,142844.0,11.2,10000000,112000000,0.001,0.0142844
NVG,3502.0,855.0,1.249999992860261,35015285,43769106,0.00010001346554797427,2.4417907779416904e-05
NOVITA,5000.0,84076.0,106.0,2500000,265000000,0.002,0.0336304
NEWAG,11250.0,0.0,18.800000004444446,45000001,846000019,0.0002499999944444446,0.0
NXG,6000.0,14671.0,3.0,10000000,30000000,0.0006,0.0014671
ORZEL-BIALY,7160.0,363503.0,25.10000000600577,16650649,417931290,0.00043001326855187445,0.021831161055644137
ODLEWNIE-POLSKIE,30164.0,55195.0,9.08000001591278,20109621,182595359,0.0014999785426090327,0.002744706128474525
OEX,1514.0,63004.0,36.099999973576196,7568932,273238445,0.00020002822062610684,0.008324027749225386
OND,1101.0,255580.0,13.34,55030000,734100200,2.0007268762493184e-05,0.004644375795020897
OPG,13145.0,1311692.0,2.750000000190185,1314507629,3614895980,9.999941963060299e-06,0.000997858035253746
ORANGE,3937000.0,832000.0,6.726000000187449,1312357479,8826916404,0.0029999448039111603,0.0006339736034681446
OPTEAM,787.0,47160.0,8.25,7871500,64939875,9.998094391157975e-05,0.005991234199326685
OPONEO-PL,13936.0,125560.0,38.8,13936000,540716800,0.001,0.009009758897818599
OTMUCHOW,5099.0,72255.0,2.86000000197888,30320179,86715712,0.0001681718303839829,0.0023830664060393576
OT-LOGISTICS,3144.0,10736.0,27.3,13098780,357596694,0.00024002235322678907,0.0008196183155988573
OVOSTAR,416.0,153220.0,41.2,6000000,247200000,6.933333333333333e-05,0.025536666666666666
PAS,192.0,1182.0,25.7,2052750,52755675,9.353306540007307e-05,0.0005758129338691998
PATENTUS,11800.0,6448.0,1.49,29500000,43955000,0.0004,0.00021857627118644068
PBS-FINANSE,29266.0,1619.0,0.458,10452000,4787016,0.0028000382701875237,0.00015489858400306161
PBG,16368.0,1022933.0,0.019999999682314827,818420313,16368406,1.9999503604696088e-05,0.0012498871102677531
PEKABEX,24827.0,25245.0,16.349999991944095,24826512,405913471,0.0010000196564060226,0.0010168564959910599
POLICE,1241758.0,0.0,11.700000003221241,124175768,1452856486,0.010000002576992316,0.0
PCF,599.0,121869.0,37.1,30086330,1116202843,1.99093741243947e-05,0.004050643597939663
PC-GUARD,30689.0,0.0,1.1699999195140631,1615189,1889771,0.019000253221140066,0.0
PCO,9.0,0.0,41.3,575000000,23747500000,1.5652173913043478e-08,0.0
ROKITA,19853.0,50113.0,144.8,19853300,2874757840,0.0009999848891620033,0.002524164748429732
