,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
RES,182986337,6149,315493684,"0,580000000887498",8252,"0,0000195","0,0000262","0,34620047","0,26951185"
BEST,465314409,22270,22157829,21,0,"0,0010050623641873",0,"0,2815955","0,32355776"
TRITON-DEVELOPMENT,30931582,25458,6364523,"4,86000003456661",56933,"0,0039999855448711","0,0089453679403782","0,3387889","0,2640478"
GRX,436734439,351473,253620464,"1,72199999996846",49550,"0,0013858227149998","0,0001953706700891","0,28431547","0,31727165"
CPD,63659914,897,8966185,"7,10000005576508",0,"0,000100042548754",0,"0,23520792","0,3247594"
BIOTON,294084885,1717284,85864200,"3,425",260776,"0,02","0,0030370748228015","0,29264626","0,2547401"
WARIMPEX,171180000,262969,54000000,"3,17",0,"0,0048697962962962",0,"0,23007725","0,30952248"
EUROPEJSKIE-CENTRUM-ODSZKODOWAN,6804000,560,5600000,"1,215",10015,"0,0001","0,0017883928571428","0,26495227","0,27106857"
SKARBIEC-HOLDING,133704869,5457,6821677,"19,5999999706817",70580,"0,0007999499243367","0,0103464294776782","0,31253612","0,21005827"
BBI-DEVELOPMENT,41750366,50946,10133584,"4,11999999210546",0,"0,0050274414264489",0,"0,24385399","0,26110584"
FERRO,522569313,21243,21242655,"24,6",82374,"0,0010000162409077","0,0038777638670872","0,26280755","0,2395175"
11-BIT-STUDIOS,1601836912,238,2380144,673,149153,"0,0001","0,0626655362028515","0,17686248","0,324065"
SADOVAYA,5170283,1298,43085693,"0,11999999628647",85920,"0,0000301","0,0019941654414146","0,18629459","0,30837178"
KRAKCHEMIA,4428000,9000,9000000,"0,492",20389,"0,001","0,0022654444444444","0,2815955","0,21054363"
BETACOM,15958000,2020,2020000,"7,9",12755,"0,001","0,0063143564356435","0,23084335","0,25379592"
RAFAKO,213649231,1609,160880445,"1,32800000024863",0,"0,00001",0,"0,1810523","0,30180088"
COMARCH,1078482159,8133,8133349,"132,600010032768",143041,"0,0009999570902465","0,0175869743201724","0,13915233","0,34062153"
ULG,78345400,523,5230000,"14,98",2955,"0,0001","0,0005650095602294","0,14840402","0,32080644"
TOYA,438997022,7504,75042226,"5,84999999866742",35677,"0,0001","0,0004754256623464","0,24286963","0,21936165"
